ID,Actor1ID,Actor2ID,Date,IsRoot,CAMEOCode,BaseCAMEOCode,RootCAMEOCode,CAMEOQuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Geo_Type,Geo_FullName,Geo_CountryCode,Geo_ADMCode,Geo_Lat,Geo_Long,Geo_FeatureID
1021419628,iu+wbEJuB6CmcaHiSItIWNaUpzA=,Ltwh/GT353v7o0viXhFVVCgvnVU=,2022-01-01,false,36,36,3,1,4,10,1,10,2.4866785079929,4,Ibadan  Oyo  Nigeria,NI,NI32 191242,7.38778,3.89639,-2010458
1021419629,iu+wbEJuB6CmcaHiSItIWNaUpzA=,GEzHOT1XZ6sg7BdTO4M9GRyWaXM=,2022-01-01,false,36,36,3,1,4,10,1,10,2.61569416498994,4,Toyin  Nigeria (general)  Nigeria,NI,NI00 191234,7.18333,2.95,-2027901
1021419630,iu+wbEJuB6CmcaHiSItIWNaUpzA=,X7mWd9077On90FMbuGNUOM4PGH4=,2022-01-01,true,43,43,4,1,2.8,10,1,10,-4.16666666666667,4,Melbourne  Victoria  Australia,AS,AS07 5430,-37.8167,144.967,-1586844
1021419631,iu+wbEJuB6CmcaHiSItIWNaUpzA=,NhLKiBz+e0/NuOnd46Awa0w3xwI=,2022-01-01,false,14,14,1,1,0,8,1,8,2.45022970903522,4,London  London  City of  United Kingdom,UK,UKH9 40110,51.5,-0.116667,-2601889
1021419632,iu+wbEJuB6CmcaHiSItIWNaUpzA=,XiwPS3JwiZpcWvhCBwuWerFDqUM=,2022-01-01,false,14,14,1,1,0,6,1,6,-1.73973556019485,2,Minnesota  United States,US,USMN,45.7326,-93.9196,MN
1021419633,iu+wbEJuB6CmcaHiSItIWNaUpzA=,hZR4Duy1iN7SYjk/YcE7J7UDNs4=,2022-01-01,true,36,36,3,1,4,60,6,60,-2.35015000897383,0,,,,,,
1021419634,iu+wbEJuB6CmcaHiSItIWNaUpzA=,Flmg4Q9O0nDJ5AOmOIowhA7wc5w=,2022-01-01,true,36,36,3,1,4,10,1,10,-5.37084398976983,1,United States,US,US,39.828175,-98.5795,US
1021419635,iu+wbEJuB6CmcaHiSItIWNaUpzA=,DNst9khsMKklf5CCDyIEQfdNPQs=,2022-01-01,true,43,43,4,1,2.8,10,1,10,-3.01724137931035,4,Dubai  Dubayy  United Arab Emirates,AE,AE03 28575,25.2522,55.28,-782831
1021419636,iu+wbEJuB6CmcaHiSItIWNaUpzA=,ztfUFDZqRv6JBAj04EX9dQJUk3Y=,2022-01-01,false,43,43,4,1,2.8,15,2,15,-3.65955379566995,1,Hong Kong,HK,HK,22.25,114.166667,HK
1021419637,iu+wbEJuB6CmcaHiSItIWNaUpzA=,SglIPZkRCKXG4oVdHM+2sUBoCsY=,2022-01-01,true,43,43,4,1,2.8,10,2,10,-3.73626373626374,2,New York  United States,US,USNY,42.1497,-74.9384,NY
1021419638,iu+wbEJuB6CmcaHiSItIWNaUpzA=,1Y+C4fzjiQbDl1EjMhe1qWW3VLo=,2022-01-01,true,46,46,4,1,7,10,1,10,1.40515222482435,4,Delhi  Delhi  India,IN,IN07 17911,28.6667,77.2167,-2094230
1021419639,iu+wbEJuB6CmcaHiSItIWNaUpzA=,NhLKiBz+e0/NuOnd46Awa0w3xwI=,2022-01-01,false,51,51,5,1,3.4,8,1,8,2.45022970903522,4,London  London  City of  United Kingdom,UK,UKH9 40110,51.5,-0.116667,-2601889
1021419640,iu+wbEJuB6CmcaHiSItIWNaUpzA=,m8wAuIMH4Xq4FWDI3GqRrnTXhYc=,2022-01-01,false,80,80,8,2,5,10,1,10,-1.06924643584522,2,Illinois  United States,US,USIL,40.3363,-89.0022,IL
1021419641,iu+wbEJuB6CmcaHiSItIWNaUpzA=,i4/jOSDjz9uey6hNAW1A4NVB7ho=,2022-01-01,false,20,20,2,1,3,10,1,10,-0.20470829068577,0,,,,,,
1021419642,iu+wbEJuB6CmcaHiSItIWNaUpzA=,N01KABBfoZ5WBEYHWJ3UFC/n8Hk=,2022-01-01,true,42,42,4,1,1.9,2,1,2,1.4218009478673,4,Yellowknife  Northwest Territories  Canada,CA,CA13 25042,62.45,-114.35,-576282
1021419643,iu+wbEJuB6CmcaHiSItIWNaUpzA=,SsTaY5GrsnybCrjwNHTWUGL6vSw=,2022-01-01,true,51,51,5,1,3.4,1,1,1,3.66972477064221,4,Montreal  Quebec  Canada,CA,CA10 12713,45.5,-73.5833,-569541
1021419644,iu+wbEJuB6CmcaHiSItIWNaUpzA=,USquHt696+V5HM1pFrIKMptJMRE=,2022-01-01,true,10,10,1,1,0,10,1,10,-4.23728813559322,0,,,,,,
1021419645,iu+wbEJuB6CmcaHiSItIWNaUpzA=,USquHt696+V5HM1pFrIKMptJMRE=,2022-01-01,true,20,20,2,1,3,10,1,10,-4.23728813559322,0,,,,,,
1021419646,iu+wbEJuB6CmcaHiSItIWNaUpzA=,LeweovJgSAucXLqhq7Sh2mqc6mY=,2022-01-01,true,20,20,2,1,3,10,1,10,-6.63811563169165,2,Virginia  United States,US,USVA,37.768,-78.2057,VA
1021419647,iu+wbEJuB6CmcaHiSItIWNaUpzA=,USquHt696+V5HM1pFrIKMptJMRE=,2022-01-01,true,84,84,8,2,7,5,1,5,-10.1769911504425,0,,,,,,
1021419648,iu+wbEJuB6CmcaHiSItIWNaUpzA=,uolcT7Cz8LaYZaWo4g8wcGVbuJc=,2022-01-01,true,84,84,8,2,7,2,1,2,-11.2970711297071,3,Gastonia  North Carolina  United States,US,USNC NC071,35.2621,-81.1873,985606
1021419649,iu+wbEJuB6CmcaHiSItIWNaUpzA=,uolcT7Cz8LaYZaWo4g8wcGVbuJc=,2022-01-01,true,173,173,17,4,-5,2,1,2,-11.2970711297071,3,Gastonia  North Carolina  United States,US,USNC NC071,35.2621,-81.1873,985606
1021419650,iu+wbEJuB6CmcaHiSItIWNaUpzA=,F2/D1UtU0hstsvpoDW/R8Hx2+Dg=,2022-01-01,true,42,42,4,1,1.9,5,1,5,-2.51141552511415,3,Menlo Park  New Jersey  United States,US,USNJ,40.5651,-74.3374,878259
1021419651,iu+wbEJuB6CmcaHiSItIWNaUpzA=,V8MRkzf45RkxvhSzjW6klb/pQeE=,2022-01-01,true,20,20,2,1,3,5,1,5,-2.58823529411765,3,Chicago  Illinois  United States,US,USIL IL031,41.85,-87.6501,423587
1021419652,iu+wbEJuB6CmcaHiSItIWNaUpzA=,Ug/VIX12rWHFsaf1rqbepQg2C0w=,2022-01-01,true,20,20,2,1,3,2,1,2,-3.73563218390805,2,Louisiana  United States,US,USLA,31.1801,-91.8749,LA
1021419653,iu+wbEJuB6CmcaHiSItIWNaUpzA=,JjHCMz5dxFKgjKwhRy0vt+nAz9g=,2022-01-01,true,36,36,3,1,4,5,1,5,1.40515222482435,4,Delhi  Delhi  India,IN,IN07 17911,28.6667,77.2167,-2094230
1021419654,iu+wbEJuB6CmcaHiSItIWNaUpzA=,yg/vPSAujjx1+Mny0w0IlXIF7hs=,2022-01-01,false,36,36,3,1,4,5,1,5,3.23383084577114,4,Moscow  Moskva  Russia,RS,RS48 25106,55.7522,37.6156,-2960561
1021419655,iu+wbEJuB6CmcaHiSItIWNaUpzA=,L39QPGeovm77xzHYfJaDIgHFqM4=,2022-01-01,true,42,42,4,1,1.9,10,1,10,8.75,0,,,,,,
1021419656,iu+wbEJuB6CmcaHiSItIWNaUpzA=,FlpHVrKgQzfUY2wGGHVW+R8Qcjk=,2022-01-01,true,42,42,4,1,1.9,2,1,2,-4.60652591170826,4,Port Macdonnell  South Australia  Australia,AS,AS05 5275,-38.0521,140.702,-1595896
1021419657,iu+wbEJuB6CmcaHiSItIWNaUpzA=,dz+ftWTiWnF3JOBmM8iuOGDI/eA=,2022-01-01,true,42,42,4,1,1.9,4,1,4,-4.53074433656957,3,Raleigh  North Carolina  United States,US,USNC NC183,35.7721,-78.6386,1024242
1021419658,iu+wbEJuB6CmcaHiSItIWNaUpzA=,FIn5RvH769NCZMKGGbXS5wJyDDg=,2022-01-01,true,42,42,4,1,1.9,6,1,6,-4.53074433656957,2,North Carolina  United States,US,USNC,35.6411,-79.8431,NC
1021419659,iu+wbEJuB6CmcaHiSItIWNaUpzA=,yKH5ZzOKCoICegKrtCU9J2kvjcM=,2022-01-01,true,51,51,5,1,3.4,2,1,2,7.14285714285715,3,Santa Rosa Beach  Florida  United States,US,USFL,30.396,-86.2288,290660
1021419660,iu+wbEJuB6CmcaHiSItIWNaUpzA=,9HEAdm6ow4cUJplxxY/walFcE/A=,2022-01-01,true,51,51,5,1,3.4,2,1,2,7.14285714285715,2,Florida  United States,US,USFL,27.8333,-81.717,FL
1021419661,iu+wbEJuB6CmcaHiSItIWNaUpzA=,4gIIhK+y5oyW6yM4V4MRE5SdeEg=,2022-01-01,true,51,51,5,1,3.4,6,1,6,6.47058823529411,2,Massachusetts  United States,US,USMA,42.2373,-71.5314,MA
1021419662,iu+wbEJuB6CmcaHiSItIWNaUpzA=,bJMKN2u9BMEt4ZvW+6q3pGi9t4A=,2022-01-01,true,100,100,10,3,-5,6,1,6,-1.08108108108109,2,California  United States,US,USCA,36.17,-119.746,CA
1021419663,iu+wbEJuB6CmcaHiSItIWNaUpzA=,sAAocN2o0h5UNMPg9dJherzn2Ds=,2022-01-01,false,130,130,13,3,-4.4,10,1,10,-2.14882610425786,3,Johns Hopkins University  Maryland  United States,US,USMD,39.329,-76.6206,597619
1021419664,iu+wbEJuB6CmcaHiSItIWNaUpzA=,Q1+TpwjdNEo/WgGPdok1dAgFk0A=,2022-01-01,true,36,36,3,1,4,15,2,15,-2.30108422831333,0,,,,,,
1021419665,iu+wbEJuB6CmcaHiSItIWNaUpzA=,rVSw8+XsZO3+FhbcfguPsnkct40=,2022-01-01,true,43,43,4,1,2.8,10,1,10,0.74211502782932,4,Tokyo  Tokyo  Japan,JA,JA40 36340,35.685,139.751,-246227
1021419666,iu+wbEJuB6CmcaHiSItIWNaUpzA=,6OqYrcQaOk0w9z7axyynA8Rfu9s=,2022-01-01,true,45,45,4,1,5,6,1,6,1.64319248826291,4,Colchester  Essex  United Kingdom,UK,UKE4 40108,51.8833,0.9,-2592989
1021419667,iu+wbEJuB6CmcaHiSItIWNaUpzA=,wHg/8taAOuvbccbFBC7zwemxa10=,2022-01-01,true,45,45,4,1,5,4,1,4,1.64319248826291,4,Frinton-On-Sea  Essex  United Kingdom,UK,UKE4 40108,51.8333,1.25,-2596568
1021419668,iu+wbEJuB6CmcaHiSItIWNaUpzA=,0glS0iQaTdHDeb1j/KLm/vIJyl8=,2022-01-01,true,110,110,11,3,-2,20,2,20,-1.63807606801658,2,Massachusetts  United States,US,USMA,42.2373,-71.5314,MA
1021419669,iu+wbEJuB6CmcaHiSItIWNaUpzA=,0glS0iQaTdHDeb1j/KLm/vIJyl8=,2022-01-01,true,1721,172,17,4,-5,20,2,20,-1.63807606801658,2,Massachusetts  United States,US,USMA,42.2373,-71.5314,MA
